,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kodiak,1,US,1574194516,41,39.95,-94.76,62.01,8.05
1,Marion,1,US,1574194517,48,35.21,-90.2,66.0,8.05
2,Punta Arenas,75,CL,1574194518,70,-53.16,-70.91,51.8,9.17
3,Cape Town,20,ZA,1574194440,63,-33.93,18.42,62.01,19.46
4,Ushuaia,75,AR,1574194248,75,-54.81,-68.31,46.4,6.93
5,Geraldton,90,CA,1574194522,99,49.72,-86.95,32.0,2.24
6,Quatre Cocos,40,MU,1574194523,88,-20.21,57.76,77.0,9.91
7,Qaanaaq,100,GL,1574194524,77,77.48,-69.36,16.09,10.67
8,Iquique,0,CL,1574194495,64,-20.22,-70.14,69.8,16.11
9,Savannah Bight,47,HN,1574194526,58,16.45,-85.85,80.15,7.76
10,Te Anau,64,NZ,1574194528,73,-45.41,167.72,42.82,6.42
11,Busselton,28,AU,1574194529,82,-33.64,115.35,55.0,23.58
12,Ilulissat,90,GL,1574194530,79,69.22,-51.1,26.6,8.05
13,Sitka,0,US,1574194531,28,37.17,-99.65,75.0,21.99
14,Lompoc,75,US,1574194449,82,34.64,-120.46,71.01,19.46
15,Port Macquarie,90,AU,1574194533,68,-31.43,152.91,68.0,10.29
16,Moyale,100,ET,1574194535,80,3.52,39.05,72.43,3.13
17,Port Alfred,0,ZA,1574194536,81,-33.59,26.89,62.01,3.0
18,Rikitea,100,PF,1574194537,88,-23.12,-134.97,76.03,14.32
19,Sorland,100,NO,1574194538,70,67.67,12.69,44.6,12.75
20,Mataura,100,NZ,1574194539,92,-46.19,168.86,45.0,5.99
21,Vanavara,0,RU,1574194540,87,60.35,102.28,-19.12,3.96
22,Kapaa,90,US,1574194541,88,22.08,-159.32,82.4,3.15
23,Nieves,11,MX,1574194543,40,24.0,-103.02,72.82,4.85
24,Victoria,75,BN,1574194506,94,5.28,115.24,78.8,5.41
25,Ribeira Grande,40,PT,1574194545,63,38.52,-28.7,64.4,14.99
26,Bambous Virieux,40,MU,1574194546,88,-20.34,57.76,77.0,9.06
27,Mount Isa,0,AU,1574194547,25,-20.73,139.49,62.6,5.44
28,Lavrentiya,82,RU,1574194548,73,65.58,-170.99,24.19,28.86
29,Monzon,75,IT,1574194549,93,46.45,11.69,42.8,2.24
30,New Norfolk,75,AU,1574194551,71,-42.78,147.06,53.01,8.05
31,Roebourne,27,AU,1574194552,46,-20.77,117.15,76.82,7.92
32,Tasiilaq,75,GL,1574194553,86,65.61,-37.64,33.8,8.05
33,Pevek,0,RU,1574194554,97,69.7,170.27,-6.92,2.82
34,Leh,100,IN,1574194555,38,34.16,77.58,12.51,6.15
35,Bredasdorp,5,ZA,1574194557,76,-34.53,20.04,53.01,2.24
36,Vostok,99,RU,1574194558,98,46.45,135.83,-1.3,5.08
37,Williston,1,US,1574194289,69,48.15,-103.62,42.01,7.0
38,Albany,90,US,1574194278,86,42.65,-73.75,39.99,3.36
39,Shimoda,0,JP,1574194561,84,34.7,138.93,48.0,15.21
40,Tuatapere,90,NZ,1574194563,92,-46.13,167.69,45.0,5.99
41,Saint George,40,GR,1574194564,88,39.45,22.34,62.6,4.7
42,Faya,0,SA,1574194565,50,18.39,42.45,59.0,3.18
43,Denpasar,20,ID,1574194566,83,-8.65,115.22,80.6,3.36
44,Santa Fe,33,AR,1574194567,62,-31.62,-60.7,81.0,10.89
45,Hillsboro,90,US,1574194568,70,39.16,-89.49,55.99,18.34
46,Wattegama,100,LK,1574194569,96,7.35,80.68,70.72,2.15
47,Khatanga,100,RU,1574194571,97,71.98,102.47,-2.11,7.94
48,Key West,90,US,1574194572,100,47.93,-96.78,41.0,8.19
49,Severo-Kurilsk,100,RU,1574194573,94,50.68,156.12,28.54,19.28
50,Saint-Philippe,90,CA,1574194574,98,45.36,-73.48,34.0,3.0
51,Green River,1,US,1574194575,34,41.53,-109.47,55.0,5.82
52,Lorengau,99,PG,1574194577,75,-2.02,147.27,82.49,8.61
53,Castro,40,CL,1574194578,76,-42.48,-73.76,57.2,18.34
54,Salalah,20,OM,1574194579,78,17.01,54.1,80.6,3.36
55,Hilo,1,US,1574194580,69,19.71,-155.08,80.6,3.36
56,Ancud,40,CL,1574194581,76,-41.87,-73.83,57.2,18.34
57,Sabang,87,PH,1574194582,96,13.8,121.11,75.0,1.74
